code_dept,annee,trimestre,taux_chomage
05,2008,3,6.6
06,2008,3,6.5
07,2008,3,7.9
08,2008,3,9.7
09,2008,3,8.4
10,2008,3,7.9
11,2008,3,9.9
12,2008,3,5.0
13,2008,3,9.5
14,2008,3,7.0
15,2008,3,5.1
16,2008,3,7.5
17,2008,3,7.7
18,2008,3,6.8
19,2008,3,5.1
2A,2008,3,6.8
2B,2008,3,7.7
21,2008,3,5.9
22,2008,3,6.0
23,2008,3,6.7
24,2008,3,7.2
25,2008,3,6.8
26,2008,3,8.1
27,2008,3,6.9
28,2008,3,6.3
29,2008,3,6.4
30,2008,3,10.2
31,2008,3,7.5
32,2008,3,5.4
33,2008,3,7.3
34,2008,3,10.4
35,2008,3,5.2
36,2008,3,6.3
37,2008,3,6.2
38,2008,3,6.1
39,2008,3,5.8
40,2008,3,6.5
41,2008,3,6.2
42,2008,3,7.1
43,2008,3,6.1
44,2008,3,6.1
45,2008,3,6.1
46,2008,3,6.6
47,2008,3,7.6
48,2008,3,4.1
49,2008,3,6.3
50,2008,3,6.4
51,2008,3,6.9
52,2008,3,7.2
53,2008,3,4.6
54,2008,3,6.8
55,2008,3,7.6
56,2008,3,6.3
57,2008,3,7.3
58,2008,3,7.1
59,2008,3,10.0
60,2008,3,6.9
61,2008,3,7.0
62,2008,3,10.2
63,2008,3,6.7
64,2008,3,6.3
65,2008,3,7.7
66,2008,3,10.0
67,2008,3,6.1
68,2008,3,6.8
69,2008,3,6.5
70,2008,3,6.7
71,2008,3,6.6
72,2008,3,6.5
73,2008,3,5.5
74,2008,3,5.0
75,2008,3,6.8
76,2008,3,8.0
77,2008,3,5.4
78,2008,3,5.1
79,2008,3,5.3
80,2008,3,8.9
81,2008,3,8.3
82,2008,3,8.0
84,2008,3,8.9
85,2008,3,5.4
86,2008,3,6.4
87,2008,3,6.3
88,2008,3,8.2
89,2008,3,6.8
90,2008,3,7.8
91,2008,3,5.0
92,2008,3,5.7
93,2008,3,9.2
94,2008,3,6.3
95,2008,3,7.1
83,2008,3,8.2
ZA,2008,3,
ZB,2008,3,
ZC,2008,3,
ZD,2008,3,
01,2008,4,5.4
02,2008,4,10.3
03,2008,4,7.8
04,2008,4,8.6
05,2008,4,6.9
06,2008,4,6.9
07,2008,4,8.5
08,2008,4,10.3
09,2008,4,8.7
10,2008,4,8.0
11,2008,4,10.3
12,2008,4,5.3
13,2008,4,9.7
14,2008,4,7.7
15,2008,4,5.4
16,2008,4,7.9
17,2008,4,8.2
18,2008,4,7.1
19,2008,4,5.4
2A,2008,4,6.9
2B,2008,4,7.9
21,2008,4,6.2
22,2008,4,6.3
23,2008,4,7.0
24,2008,4,7.6
25,2008,4,7.3
26,2008,4,8.4
27,2008,4,7.3
28,2008,4,6.7
29,2008,4,6.8
30,2008,4,10.5
31,2008,4,7.8
32,2008,4,5.6
33,2008,4,7.6
34,2008,4,10.8
35,2008,4,5.7
36,2008,4,6.7
37,2008,4,6.6
38,2008,4,6.3
39,2008,4,6.4
40,2008,4,6.9
41,2008,4,6.8
42,2008,4,7.6
43,2008,4,6.5
44,2008,4,6.5
45,2008,4,6.5
46,2008,4,6.9
47,2008,4,7.9
48,2008,4,4.3
49,2008,4,6.9
50,2008,4,6.8
51,2008,4,7.3
52,2008,4,7.9
53,2008,4,5.3
54,2008,4,7.2
55,2008,4,7.8
56,2008,4,6.8
57,2008,4,7.8
58,2008,4,7.5
59,2008,4,10.6
60,2008,4,7.2
61,2008,4,7.7
62,2008,4,10.7
63,2008,4,7.1
64,2008,4,6.7
65,2008,4,7.9
66,2008,4,10.5
67,2008,4,6.4
68,2008,4,7.2
69,2008,4,6.8
70,2008,4,7.3
71,2008,4,7.0
72,2008,4,7.1
73,2008,4,5.9
74,2008,4,5.5
