id,code_dept,election_id,nb_inscrits,nb_abstentions,nb_votants,nb_blancs_nuls
327,07,4,249216,54463,194753,27060
328,08,4,194348,49888,144460,17466
329,09,4,117406,26697,90709,14605
330,10,4,203800,45670,158130,18141
331,11,4,272651,61807,210844,28504
332,12,4,218179,43933,174246,24068
333,13,4,1370059,364023,1006036,108246
334,14,4,501062,109700,391362,44309
335,15,4,117394,25279,92115,12766
336,16,4,259951,60540,199411,25795
337,17,4,491299,111825,379474,47155
338,18,4,228981,58016,170965,23230
339,19,4,185245,38166,147079,23095
340,2A,4,108760,38422,70338,8783
341,2B,4,124873,45642,79231,10167
342,21,4,360646,77255,283391,34667
343,22,4,455837,87667,368170,45663
344,23,4,93122,21738,71384,11717
345,24,4,313904,65760,248144,37276
346,25,4,368314,84624,283690,35451
347,26,4,369464,82120,287344,35044
348,27,4,427522,97300,330222,37951
349,28,4,301455,71216,230239,27127
350,29,4,690439,144538,545901,65679
351,30,4,537834,130426,407408,51304
352,31,4,906832,220547,686285,82679
353,32,4,144954,27641,117313,16322
354,33,4,1086565,251778,834787,98991
355,34,4,800266,197631,602635,74980
356,35,4,730055,148946,581109,61874
357,36,4,170405,39923,130482,18045
358,37,4,428836,98508,330328,39694
359,38,4,856335,202648,653687,71398
360,39,4,190318,41064,149254,20099
361,40,4,310094,62785,247309,34029
362,41,4,245294,54567,190727,24054
363,42,4,510896,123355,387541,45226
364,43,4,177116,37641,139475,19132
365,44,4,993397,214727,778670,91077
366,45,4,452626,103649,348977,40239
367,46,4,136265,27297,108968,16229
368,47,4,240864,52235,188629,24824
369,48,4,59496,11884,47612,7343
370,49,4,569235,121568,447667,51069
371,50,4,379039,82804,296235,33410
372,51,4,381661,95123,286538,32472
373,52,4,134122,32081,102041,12518
374,53,4,222328,46225,176103,20331
375,54,4,495089,124771,370318,42666
376,55,4,137552,31478,106074,12504
377,56,4,576899,117229,459670,55000
378,57,4,751260,201751,549509,59200
379,58,4,159394,38186,121208,16545
380,59,4,1804404,483133,1321271,143703
381,60,4,562002,133759,428243,48185
382,61,4,208691,45577,163114,19560
383,62,4,1090441,262199,828242,92882
384,63,4,460924,105055,355869,48237
385,64,4,502323,110333,391990,52996
386,65,4,177681,40635,137046,20030
387,66,4,347862,86708,261154,34686
388,67,4,766700,183299,583401,58672
389,68,4,526161,128800,397361,46166
390,69,4,1155475,289823,865652,87890
391,70,4,179186,37286,141900,19022
392,71,4,406331,94638,311693,40803
393,72,4,405628,94504,311124,42448
394,73,4,310186,72297,237889,29173
395,74,4,538161,127886,410275,47430
396,75,4,1301537,279898,1021639,74618
397,76,4,880755,211615,669140,81036
398,77,4,881094,228164,652930,73947
399,78,4,950853,225209,725644,72852
400,79,4,272389,57584,214805,24939
401,80,4,408950,90521,318429,35642
402,81,4,291156,62267,228889,31442
403,82,4,183328,39522,143806,18653
404,83,4,794665,202027,592638,68146
405,84,4,402313,94115,308198,35123
406,85,4,514408,103133,411275,47149
407,86,4,306976,68710,238266,29299
408,87,4,266280,57263,209017,30836
409,88,4,282532,63279,219253,27232
410,89,4,241891,56992,184899,22234
411,90,4,95279,23202,72077,9616
412,91,4,795234,199451,595783,65624
413,92,4,983522,226846,756676,66683
414,93,4,766977,249214,517763,50084
415,94,4,785586,207455,578131,56313
416,95,4,730335,204202,526133,54598
417,ZA,4,316062,160452,155610,21665
418,ZB,4,310673,154539,156134,21632
419,ZC,4,92252,53572,38680,5134
420,ZD,4,639391,237169,402222,50252
421,ZM,4,82494,44752,37742,4031
422,ZN,4,189368,89370,99998,8879
423,ZP,4,203973,108330,95643,5946
424,ZS,4,4963,2184,2779,461
425,ZW,4,8464,2369,6095,137
426,ZX,4,25447,16454,8993,871
427,01,5,438109,97541,340568,7544
428,02,5,373544,101089,272455,6595
429,03,5,249991,58497,191494,5539
430,04,5,128075,29290,98785,2102
431,05,5,113519,25357,88162,1927
432,06,5,778582,208250,570332,11557
433,07,5,255859,54114,201745,4770
434,08,5,186197,49368,136829,2893
435,09,5,119039,25028,94011,2307
436,10,5,205551,52384,153167,3497
437,11,5,279927,62972,216955,4529
438,12,5,219468,43833,175635,4733
439,13,5,1411184,383816,1027368,18748
440,14,5,512148,117799,394349,8118
441,15,5,115745,25019,90726,2624
442,16,5,257608,59909,197699,5033
443,17,5,519202,116437,402765,8698
444,18,5,224570,59808,164762,4229
445,19,5,185032,38430,146602,4002
446,2A,5,113918,42366,71552,2691
447,2B,5,129114,48263,80851,2340
448,21,5,366859,77886,288973,6228
449,22,5,471752,96597,375155,8762
450,23,5,90946,21967,68979,2131
451,24,5,318168,64856,253312,6756
452,25,5,368379,84117,284262,7165
453,26,5,382188,84289,297899,6475
454,27,5,432198,106463,325735,6874
455,28,5,303888,78960,224928,4907
456,29,5,709701,154870,554831,11912
457,30,5,555038,132723,422315,8336
458,31,5,930321,183366,746955,15976
459,32,5,147278,28267,119011,2612
460,33,5,1158548,249014,909534,17514
461,34,5,847365,195766,651599,12871
462,35,5,771636,161427,610209,13377
463,36,5,166100,41406,124694,3697
464,37,5,440502,105536,334966,7476
465,38,5,885440,198676,686764,14468
466,39,5,190597,41634,148963,3736
467,40,5,329337,65654,263683,5633
468,41,5,244718,59350,185368,4558
469,42,5,513794,118592,395202,9264
470,43,5,180706,37000,143706,4051
471,44,5,1056693,236339,820354,17932
472,45,5,457550,114468,343082,7660
473,46,5,139278,27164,112114,2724
474,47,5,241304,52907,188397,4295
475,48,5,59812,11680,48132,1136
476,49,5,589263,136866,452397,11055
477,50,5,384613,93460,291153,6695
478,51,5,380644,101010,279634,5528
479,52,5,129389,33273,96116,2308
480,53,5,224722,52812,171910,5002
481,54,5,492057,130919,361138,7338
482,55,5,134805,34092,100713,2200
483,56,5,608972,130520,478452,11078
484,57,5,745914,210299,535615,11296
485,58,5,154186,38850,115336,2895
486,59,5,1813906,514033,1299873,25092
487,60,5,564121,142081,422040,10326
488,61,5,205538,50935,154603,3653
489,62,5,1093723,286319,807404,16751
490,63,5,468103,100869,367234,9647
491,64,5,519929,110134,409795,8305
492,65,5,177443,39595,137848,2960
493,66,5,362076,87704,274372,5804
494,67,5,778712,190224,588488,11769
495,68,5,531738,137861,393877,8768
496,69,5,1181226,255580,925646,16633
497,70,5,177715,39039,138676,3937
498,71,5,402992,95369,307623,8323
499,72,5,411308,105454,305854,8792
500,73,5,320709,68929,251780,5422
501,74,5,565665,129384,436281,9142
502,75,5,1368025,296668,1071357,16295
503,76,5,879252,222147,657105,14140
504,77,5,899303,223172,676131,15202
505,78,5,961245,211708,749537,13031
506,79,5,273214,59403,213811,6007
507,80,5,410056,102687,307369,8451
508,81,5,298178,62818,235360,5518
509,82,5,188706,39625,149081,3261
510,83,5,820904,211212,609692,10962
511,84,5,411607,101650,309957,6092
512,85,5,550963,120547,430416,10707
513,86,5,306011,68304,237707,6055
514,87,5,263742,55484,208258,6140
515,88,5,277913,68914,208999,5305
516,89,5,237957,57549,180408,3897
517,90,5,93724,22238,71486,1832
518,91,5,799500,192200,607300,12359
519,92,5,997667,208790,788877,14135
520,93,5,793929,239927,554002,10851
521,94,5,796086,195409,600677,11619
522,95,5,733529,192853,540676,11091
523,ZA,5,316023,174592,141431,6346
524,ZB,5,304594,174588,130006,7057
525,ZC,5,102993,65754,37239,1378
526,ZD,5,675539,313159,362380,15614
527,ZM,5,92187,55024,37163,2113
528,ZN,5,218773,145807,72966,2466
529,ZP,5,205576,142121,63455,3425
530,ZS,5,5045,2272,2773,72
531,ZW,5,9528,4125,5403,44
532,ZX,5,24414,15812,8602,234
533,ZZ,5,1435746,931455,504291,5340
534,01,6,438250,109568,328682,25677
535,02,6,373621,97965,275656,20159
536,03,6,249954,62311,187643,20236
537,04,6,128077,31907,96170,10372
538,05,6,113540,27296,86244,9585
539,06,6,778703,217148,561555,38937
540,07,6,255891,62124,193767,22009
541,08,6,186220,48099,138121,10988
542,09,6,119047,29751,89296,12382
543,10,6,205599,51298,154301,11836
544,11,6,279959,68610,211349,21846
545,12,6,219480,49491,169989,20244
546,13,6,1411580,410707,1000873,76985
547,14,6,512204,116324,395880,33341
548,15,6,115741,25815,89926,9650
549,16,6,257508,64403,193105,19362
550,17,6,518929,126022,392907,35728
551,18,6,224457,60255,164202,16303
552,19,6,185031,42851,142180,19777
553,2A,6,113904,44739,69165,6437
554,2B,6,129096,50359,78737,7649
555,21,6,366828,89553,277275,24864
556,22,6,471760,100204,371556,38146
557,23,6,90958,23479,67479,8772
558,24,6,318129,72606,245523,29654
559,25,6,368437,95455,272982,24717
560,26,6,382280,96584,285696,27782
561,27,6,432273,104821,327452,25615
562,28,6,304007,79606,224401,18472
563,29,6,709818,161974,547844,55375
564,30,6,555277,146848,408429,37094
565,31,6,930579,223557,707022,71150
566,32,6,147268,30993,116275,16528
567,33,6,1158551,288844,869707,79824
568,34,6,847479,225798,621681,56707
569,35,6,771870,169031,602839,52579
570,36,6,166057,41208,124849,12862
571,37,6,440750,108984,331766,31326
572,38,6,885672,229398,656274,55094
573,39,6,190644,45869,144775,15045
574,40,6,329376,73120,256256,29211
575,41,6,244640,58413,186227,16433
576,42,6,513962,136870,377092,33039
577,43,6,180716,41139,139577,15225
578,44,6,1057081,255271,801810,74697
