id,departement_code,sexe_id,tranche_age_id,annee,population
622,ZA,3,2,2022,40596
623,ZA,3,3,2022,61617
624,ZA,3,4,2022,40011
625,ZA,3,5,2022,21110
626,ZB,3,1,2022,37225
627,ZB,3,2,2022,37829
628,ZB,3,3,2022,56434
629,ZB,3,4,2022,40549
630,ZB,3,5,2022,21841
631,ZC,3,1,2022,59402
632,ZC,3,2,2022,42460
633,ZC,3,3,2022,32284
634,ZC,3,4,2022,11457
635,ZC,3,5,2022,3645
636,ZD,3,1,2022,126184
637,ZD,3,2,2022,111239
638,ZD,3,3,2022,126890
639,ZD,3,4,2022,66230
640,ZD,3,5,2022,28520
641,01,2,1,2007,78672
642,01,2,2,2007,74187
643,01,2,3,2007,81771
644,01,2,4,2007,33496
645,01,2,5,2007,15625
646,02,2,1,2007,72302
647,02,2,2,2007,65638
648,02,2,3,2007,76034
649,02,2,4,2007,31402
650,02,2,5,2007,16208
651,03,2,1,2007,36753
652,03,2,2,2007,37614
653,03,2,3,2007,48399
654,03,2,4,2007,25918
655,03,2,5,2007,15787
656,04,2,1,2007,18655
657,04,2,2,2007,15991
658,04,2,3,2007,22354
659,04,2,4,2007,12322
660,04,2,5,2007,6247
661,05,2,1,2007,15812
662,05,2,2,2007,15086
663,05,2,3,2007,19372
664,05,2,4,2007,9480
665,05,2,5,2007,5091
666,06,2,1,2007,123223
667,06,2,2,2007,125427
668,06,2,3,2007,139032
669,06,2,4,2007,77341
670,06,2,5,2007,45119
671,07,2,1,2007,37166
672,07,2,2,2007,34378
673,07,2,3,2007,44191
674,07,2,4,2007,22935
675,07,2,5,2007,12137
676,08,2,1,2007,37698
677,08,2,2,2007,34873
678,08,2,3,2007,40866
679,08,2,4,2007,17487
680,08,2,5,2007,8645
681,09,2,1,2007,16413
682,09,2,2,2007,15934
683,09,2,3,2007,21642
684,09,2,4,2007,11258
685,09,2,5,2007,7185
686,10,2,1,2007,37515
687,10,2,2,2007,37807
688,10,2,3,2007,41852
689,10,2,4,2007,19033
690,10,2,5,2007,9894
691,11,2,1,2007,40068
692,11,2,2,2007,37996
693,11,2,3,2007,47096
694,11,2,4,2007,26616
695,11,2,5,2007,15420
696,12,2,1,2007,29592
697,12,2,2,2007,30004
698,12,2,3,2007,39166
699,12,2,4,2007,21768
700,12,2,5,2007,13780
701,13,2,1,2007,246836
702,13,2,2,2007,249219
703,13,2,3,2007,253864
704,13,2,4,2007,122816
705,13,2,5,2007,60880
706,14,2,1,2007,86929
707,14,2,2,2007,86477
708,14,2,3,2007,91046
709,14,2,4,2007,39345
710,14,2,5,2007,19951
711,15,2,1,2007,15084
712,15,2,2,2007,16252
713,15,2,3,2007,22421
714,15,2,4,2007,11763
715,15,2,5,2007,7105
716,16,2,1,2007,39341
717,16,2,2,2007,39541
718,16,2,3,2007,50368
719,16,2,4,2007,25372
720,16,2,5,2007,14703
721,17,2,1,2007,68480
722,17,2,2,2007,67007
723,17,2,3,2007,82386
724,17,2,4,2007,47040
725,17,2,5,2007,26416
726,18,2,1,2007,35664
727,18,2,2,2007,36072
728,18,2,3,2007,44771
729,18,2,4,2007,23613
730,18,2,5,2007,12420
731,19,2,1,2007,24766
732,19,2,2,2007,27939
733,19,2,3,2007,34609
734,19,2,4,2007,18505
735,19,2,5,2007,11712
736,21,2,1,2007,63494
737,21,2,2,2007,68787
738,21,2,3,2007,70708
739,21,2,4,2007,31054
740,21,2,5,2007,16453
741,22,2,1,2007,68935
742,22,2,2,2007,63477
743,22,2,3,2007,80082
744,22,2,4,2007,42645
745,22,2,5,2007,22952
746,23,2,1,2007,12364
747,23,2,2,2007,12066
748,23,2,3,2007,18463
749,23,2,4,2007,10329
750,23,2,5,2007,7099
751,24,2,1,2007,42578
752,24,2,2,2007,41015
753,24,2,3,2007,58240
754,24,2,4,2007,33593
755,24,2,5,2007,19997
756,25,2,1,2007,68518
757,25,2,2,2007,71704
758,25,2,3,2007,69388
759,25,2,4,2007,31383
760,25,2,5,2007,14677
761,26,2,1,2007,61254
762,26,2,2,2007,55775
763,26,2,3,2007,64636
