id,election_id,candidat_id,code_dept,nb_voix
673,1,7,30,948
674,1,7,31,1703
675,1,7,32,298
676,1,7,33,1895
677,1,7,34,1366
678,1,7,35,1377
679,1,7,36,393
680,1,7,37,901
681,1,7,38,1726
682,1,7,39,425
683,1,7,40,516
684,1,7,41,518
685,1,7,42,939
686,1,7,43,322
687,1,7,44,1760
688,1,7,45,885
689,1,7,46,299
690,1,7,47,461
691,1,7,48,119
692,1,7,49,1182
693,1,7,50,882
694,1,7,51,712
695,1,7,52,265
696,1,7,53,428
697,1,7,54,1092
698,1,7,55,344
699,1,7,56,1268
700,1,7,57,1522
701,1,7,58,338
702,1,7,59,3185
703,1,7,60,1081
704,1,7,61,422
705,1,7,62,1824
706,1,7,63,988
707,1,7,64,882
708,1,7,65,300
709,1,7,66,591
710,1,7,67,1655
711,1,7,68,1322
712,1,7,69,2264
713,1,7,70,407
714,1,7,71,802
715,1,7,72,749
716,1,7,73,664
717,1,7,74,1242
718,1,7,75,2272
719,1,7,76,1671
720,1,7,77,1654
721,1,7,78,2008
722,1,7,79,567
723,1,7,80,726
724,1,7,81,550
725,1,7,82,367
726,1,7,83,1254
727,1,7,84,650
728,1,7,85,973
729,1,7,86,553
730,1,7,87,516
731,1,7,88,661
732,1,7,89,484
733,1,7,90,215
734,1,7,91,1456
735,1,7,92,1939
736,1,7,93,1259
737,1,7,94,1498
738,1,7,95,1325
739,1,7,ZA,441
740,1,7,ZB,560
741,1,7,ZC,148
742,1,7,ZD,1066
743,1,7,ZM,175
744,1,7,ZN,279
745,1,7,ZP,378
746,1,7,ZS,13
747,1,7,ZW,29
748,1,7,ZX,28
749,1,7,ZZ,1457
750,1,8,01,32650
751,1,8,02,19895
752,1,8,03,17814
753,1,8,04,7483
754,1,8,05,8559
755,1,8,06,38980
756,1,8,07,18373
757,1,8,08,11551
758,1,8,09,6411
759,1,8,10,13575
760,1,8,11,13076
761,1,8,12,22809
762,1,8,13,66082
763,1,8,14,40562
764,1,8,15,10980
765,1,8,16,18461
766,1,8,17,34381
767,1,8,18,16048
768,1,8,19,10824
769,1,8,2A,4069
770,1,8,2B,3981
771,1,8,21,27086
772,1,8,22,40240
773,1,8,23,6476
774,1,8,24,20898
775,1,8,25,25639
776,1,8,26,25610
777,1,8,27,28144
778,1,8,28,21842
779,1,8,29,63121
780,1,8,30,28893
781,1,8,31,64648
782,1,8,32,12003
783,1,8,33,79277
784,1,8,34,41351
785,1,8,35,71491
786,1,8,36,12473
787,1,8,37,34420
788,1,8,38,60608
789,1,8,39,14819
790,1,8,40,25437
791,1,8,41,19256
792,1,8,42,40209
793,1,8,43,16212
794,1,8,44,87453
795,1,8,45,33133
796,1,8,46,10648
797,1,8,47,17394
798,1,8,48,5505
799,1,8,49,58196
800,1,8,50,34272
801,1,8,51,28210
802,1,8,52,8712
803,1,8,53,25118
804,1,8,54,33871
805,1,8,55,10375
806,1,8,56,50050
807,1,8,57,53160
808,1,8,58,9746
809,1,8,59,102511
810,1,8,60,33160
811,1,8,61,18326
812,1,8,62,54354
813,1,8,63,36771
814,1,8,64,61681
815,1,8,65,15265
816,1,8,66,16608
817,1,8,67,69940
818,1,8,68,46176
819,1,8,69,91042
820,1,8,70,11147
821,1,8,71,28683
822,1,8,72,29802
823,1,8,73,24034
824,1,8,74,47547
825,1,8,75,92664
826,1,8,76,54446
827,1,8,77,55187
828,1,8,78,80848
829,1,8,79,24395
830,1,8,80,24066
831,1,8,81,21724
832,1,8,82,12075
833,1,8,83,40004
834,1,8,84,21070
835,1,8,85,49402
836,1,8,86,23565
837,1,8,87,17189
838,1,8,88,21516
839,1,8,89,16472
840,1,8,90,6630
841,1,8,91,55738
842,1,8,92,78397
843,1,8,93,32661
844,1,8,94,51892
845,1,8,95,44683
846,1,8,ZA,6861
847,1,8,ZB,8681
848,1,8,ZC,2329
849,1,8,ZD,24853
850,1,8,ZM,1505
851,1,8,ZN,4579
852,1,8,ZP,5139
853,1,8,ZS,194
854,1,8,ZW,410
855,1,8,ZX,473
856,1,8,ZZ,45867
857,1,9,01,7208
858,1,9,02,5853
859,1,9,03,4068
860,1,9,04,1845
861,1,9,05,1782
862,1,9,06,9241
863,1,9,07,3890
864,1,9,08,2787
865,1,9,09,1446
866,1,9,10,3524
867,1,9,11,3184
868,1,9,12,3095
869,1,9,13,14087
870,1,9,14,8227
871,1,9,15,1630
872,1,9,16,4278
873,1,9,17,7900
874,1,9,18,3825
875,1,9,19,2577
876,1,9,2A,797
877,1,9,2B,930
878,1,9,21,5640
879,1,9,22,6494
880,1,9,23,1502
881,1,9,24,4847
882,1,9,25,5364
883,1,9,26,5578
884,1,9,27,7074
885,1,9,28,5307
886,1,9,29,9944
887,1,9,30,6087
888,1,9,31,10601
889,1,9,32,2191
890,1,9,33,13082
891,1,9,34,8462
892,1,9,35,10601
893,1,9,36,3014
894,1,9,37,6738
895,1,9,38,12658
896,1,9,39,3532
897,1,9,40,4008
898,1,9,41,4213
899,1,9,42,8705
900,1,9,43,3021
901,1,9,44,14238
902,1,9,45,7512
903,1,9,46,2212
904,1,9,47,3522
905,1,9,48,843
906,1,9,49,10087
907,1,9,50,6936
908,1,9,51,6029
909,1,9,52,2637
910,1,9,53,3897
911,1,9,54,7447
912,1,9,55,2299
913,1,9,56,8548
914,1,9,57,10658
915,1,9,58,2563
916,1,9,59,21160
917,1,9,60,8505
918,1,9,61,4173
919,1,9,62,14122
920,1,9,63,6555
921,1,9,64,5728
922,1,9,65,2376
923,1,9,66,3652
924,1,9,67,10141
925,1,9,68,8508
926,1,9,69,15203
927,1,9,70,2982
928,1,9,71,6588
929,1,9,72,7012
930,1,9,73,5120
931,1,9,74,9345
932,1,9,75,9959
933,1,9,76,12445
934,1,9,77,14055
935,1,9,78,12434
936,1,9,79,4952
937,1,9,80,6653
938,1,9,81,3850
939,1,9,82,2564
940,1,9,83,9809
941,1,9,84,4679
